Gene	Length
DDX11L1	1735
WASH7P	1351
MIR1302-2HG	1021
FAM138A	1219
AL627309.6	840
OR4G11P	1414
OR4F5	2618
AL627309.1	6387
AL627309.3	1319
CICP27	3812
AL627309.7	755
AL627309.8	284
AL627309.2	323
AL627309.5	6195
RNU6-1100P	104
AL627309.4	457
AP006222.2	3954
RP4-669L17.8	1239
CICP7	2477
RP4-669L17.4	180
OR4F29	995
WBP1LP7	363
AL732372.1	90
RP4-669L17.2	635
RP5-857K21.15	676
RP4-669L17.1	385
AL669831.3	5411
AC114498.1	635
MTND1P23	372
MTND2P28	1044
MTCO1P12	1543
MTCO2P12	682
MTATP8P1	207
MTATP6P1	681
MTCO3P12	547
WBP1LP6	424
OR4F16	995
CICP3	2455
AL669831.1	6561
RP11-206L10.3	4860
RNU6-1199P	104
AL669831.2	456
AL669831.5	5517
AL669831.4	872
FAM87B	1947
LINC01128	9470
LINC00115	1317
FAM41C	1971
TUBB8P11	1058
AL669831.6	837
AL645608.2	528
AL645608.7	351
AL645608.3	3043
AL645608.5	443
AL645608.1	4488
SAMD11	4166
NOC2L	5539
KLHL17	3395
PLEKHN1	2833
PERM1	3424
AL645608.8	2086
HES4	1118
ISG15	942
AL645608.4	154
AGRN	10758
AL645608.6	402
AL390719.1	2171
AL645608.9	829
RNF223	1902
C1orf159	6322
LINC01342	1620
MIR200B	95
MIR200A	90
MIR429	83
AL390719.2	987
TTLL10-AS1	3532
TTLL10	3943
TNFRSF18	1370
TNFRSF4	1721
SDF4	4709
B3GALT6	2777
C1QTNF12	1794
AL162741.1	1558
UBE2J2	4712
LINC01786	513
SCNN1D	4025
ACAP3	8809
PUSL1	2489
INTS11	8220
AL139287.1	386
CPTP	2556
TAS1R3	3433
DVL1	3814
MXRA8	3622
AURKAIP1	1669
NDUFB4P8	367
CCNL2	6850
AL391244.1	2525
MRPL20	2788
RN7SL657P	292
AL391244.3	1523
ANKRD65	2644
AL391244.2	543
TMEM88B	492
LINC01770	851
VWA1	5065
ATAD3C	3976
ATAD3B	7682
ATAD3A	3069
TMEM240	1380
SSU72	6925
AL645728.2	2178
AL645728.1	2101
AL645728.3	243
AL691432.3	400
FNDC10	2085
AL691432.2	2038
MIB2	8767
MMP23B	2273
CDK11B	3207
FO704657.1	400
SLC35E2B	8360
AL691432.1	1819
MMP23A	1017
CDK11A	4701
AL031282.2	5079
AL031282.1	2759
SLC35E2	3264
NADK	5570
GNB1	6417
AL109917.1	906
CALML6	2321
TMEM52	1594
CFAP74	10422
AL391845.2	1954
GABRD	5556
AL391845.1	538
PRKCZ	7636
AL590822.2	6139
PRKCZ-AS1	1734
FAAP20	10916
AL590822.1	2465
